target_id	length	eff_length	est_counts	tpm
g3450.t1	300	95.2216	7	5.9156
g3451.t1	324	109.331	0	0
g3452.t1	1137	824.932	0	0
g3453.t1	1509	1196.93	5	0.336153
g3454.t1	1638	1325.93	13	0.788966
g3455.t1	726	422.692	19	3.61715
g3456.t1	555	272.619	5	1.47588
g3457.t1	6606	6293.93	26	0.33242
g3458.t1	2493	2180.93	4	0.147589
g3459.t1	3207	2894.93	5	0.138985
g3460.t1	1509	1196.93	3	0.201692
g3461.t1	1299	986.932	27	2.20147
g3462.t1	1536	1223.93	97	6.37751
g3463.t1	1182	869.932	2	0.185004
g3464.t1	666	367.833	33	7.21938
g3465.t1	7548	7235.93	16.392	0.182295
g3465.t2	7620	7307.93	100.527	1.10694
g3465.t3	7542	7229.93	0	0
g3465.t4	7590	7277.93	0.0403276	0.000445893
g3465.t5	7590	7277.93	0.0403276	0.000445893
g3466.t1	810	502.057	0	0
g3467.t1	1989	1676.93	40	1.91947
g3468.t1	915	603.79	36	4.79792
g3469.t1	2460	2147.93	72	2.69742
g3470.t1	2586	2273.93	83	2.93722
g3471.t1	1263	950.932	51	4.31576
g3472.t1	708	406.049	25	4.95448
g3473.t1	1293	980.932	89	7.30109
g3474.t1	321	107.42	10.1744	7.62185
g3474.t2	318	105.85	20.8256	15.8323
g3475.t1	4482	4169.93	1557	30.0466
g3476.t1	297	93.3478	3	2.58615
g3477.t1	1146	833.932	22	2.12289
g3478.t1	1353	1040.93	31	2.39649
g3479.t1	1326	1013.93	486	38.5713
g3480.t1	843	533.704	64	9.64974
g3481.t1	1995	1682.93	24.2541	1.15973
g3481.t2	1992	1679.93	24.7459	1.18535
g3482.t1	297	93.3478	40	34.482
g3483.t1	207	47.9032	0	0
g3484.t1	273	79.9276	1	1.00679
g3485.t1	315	104.078	0	0
g3486.t1	381	145.072	0	0
g3487.t1	1566	1253.93	0	0
g3488.t1	1080	767.932	8	0.838308
g3489.t1	7296	6983.93	45	0.5185
g3489.t2	2292	1979.93	0	0
g3490.t1	1887	1574.93	207	10.5766
g3491.t1	204	46.6154	1	1.72626
g3492.t1	3690	3377.93	159	3.78776
g3493.t1	1209	896.932	3234	290.146
g3494.t1	951	639.375	31	3.9016
g3495.t1	1455	1142.93	55	3.87239
g3496.t1	1623	1310.93	0	0
g3497.t1	393	152.951	0	0
g3498.t1	237	61.7306	0	0
g3499.t1	387	149.036	0	0
g3500.t1	366	135.372	0	0
g3501.t1	336	116.767	0	0
g3502.t1	210	49.1301	0	0
g3503.t1	1365	1052.93	73	5.57903
g3504.t1	504	232.48	72	24.922
g3505.t1	2958	2645.93	4	0.121652
g3505.t2	3051	2738.93	0	0
g3506.t1	1356	1043.93	108	8.32507
g3507.t1	264	75.23	62	66.3189
g3508.t1	1185	872.932	0	0
g3509.t1	630	336.148	3	0.71817
g3510.t1	594	305.197	5	1.31834
g3511.t1	456	196.873	73	29.8382
g3512.t1	1371	1058.93	93	7.06726
g3513.t1	1548	1235.93	83	5.40406
g3514.t1	897	586.098	1157	158.855
g3515.t1	459	199.13	0	0
g3516.t1	366	135.372	0	0
g3517.t1	2628	2315.93	17	0.59069
g3518.t1	498	227.859	1	0.353159
g3519.t1	1599	1286.93	9	0.56276
g3520.t1	513	239.28	2	0.672605
g3521.t1	1350	1037.93	2	0.155059
g3522.t1	726	422.692	10	1.90376
g3523.t1	1146	833.932	364	35.1243
g3524.t1	792	484.838	10	1.65974
g3525.t1	369	137.22	16	9.38291
g3526.t1	1209	896.932	62	5.56248
g3527.t1	1752	1439.93	0	0
g3528.t1	408	162.819	0	0
g3529.t1	948	636.375	15	1.89677
g3530.t1	1449	1136.93	22	1.55713
g3531.t1	1908	1595.93	52	2.62196
g3532.t1	612	320.588	12	3.01211
g3533.t1	4959	4646.93	60	1.03901
g3534.t1	744	439.531	14	2.56316
g3535.t1	351	125.917	1	0.639073
g3536.t1	216	51.8035	0	0
g3537.t1	1026	713.932	1	0.112714
g3538.t1	1992	1679.93	5	0.239505
g3539.t1	297	93.3478	0	0
g3540.t1	1470	1157.93	1269	88.1891
g3541.t1	309	100.454	4	3.20428
