gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.56	PSC.52	PSC.54	PSC.61	PSC.64	PSC.73	PSC.76	PSC.81	PSC.59	PSC.57	PSC.69	PSC.67	PSC.71	PSC.75	PSC.78	PSC.83	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.biological.process	Gene.Ontology.IDs
g21711	12883.0935253533	-0.709970512692711	0.228673239474894	-3.10473807220743	0.00190447593029036	0.00763473087082639	20107	18753	28228	16428	32440	22008	12887	20837	8398	9483	5108	9733	10351	2354	11873	4728	sp	P54985	PPIA_BLAGE	76.829	164	38	0	1	492	1	164	1.88e-90	263	P54985	reviewed	PPIA_BLAGE	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (Cyclosporin A-binding protein) (Rotamase)	CYPA	Blattella germanica (German cockroach) (Blatta germanica)	164	protein folding [GO:0006457]	GO:0003755; GO:0005737; GO:0006457; GO:0043231
g21769	95.2608451733162	3.6958184007692	1.00771829984027	3.66751144774787	0.000244922588350467	0.00136039062124746	7777	18	0	16	16	0	2	18	39	203	17	1200	6407	7	103	7	sp	Q86XQ3	CTSR3_HUMAN	33.609	363	237	3	67	1155	30	388	2.09e-64	214	Q86XQ3	reviewed	CTSR3_HUMAN	Cation channel sperm-associated protein 3 (CatSper3) (Ca(v)-like protein) (One-repeat calcium channel-like protein)	CATSPER3	Homo sapiens (Human)	398	establishment of localization in cell [GO:0051649]; flagellated sperm motility [GO:0030317]; sodium ion transport [GO:0006814]; sperm capacitation [GO:0048240]	GO:0001669; GO:0005245; GO:0005783; GO:0005886; GO:0006814; GO:0030317; GO:0031514; GO:0036128; GO:0048240; GO:0051649
g14589	540.526165853922	0.666701887573563	0.214223083414123	3.11218509671404	0.00185708021690503	0.00747529133297244	502	512	531	418	593	536	711	721	441	529	374	1001	650	188	267	725	sp	Q60520	SIN3A_MOUSE	55.959	193	83	1	49	621	935	1127	8.19e-62	219	Q60520	reviewed	SIN3A_MOUSE	Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)	Sin3a Kiaa4126	Mus musculus (Mouse)	1274	activation of innate immune response [GO:0002218]; cellular response to dopamine [GO:1903351]; cellular response to glucose stimulus [GO:0071333]; cellular response to tert-butyl hydroperoxide [GO:0072736]; cerebral cortex neuron differentiation [GO:0021895]; DNA replication [GO:0006260]; hematopoietic progenitor cell differentiation [GO:0002244]; heterochromatin formation [GO:0031507]; in utero embryonic development [GO:0001701]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell migration [GO:0030336]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of protein localization to nucleus [GO:1900181]; negative regulation of stem cell population maintenance [GO:1902455]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of stem cell population maintenance [GO:1902459]; protein localization [GO:0008104]; regulation of axon extension [GO:0030516]; regulation of DNA-templated transcription [GO:0006355]; regulation of hormone levels [GO:0010817]; response to methylglyoxal [GO:0051595]; response to organonitrogen compound [GO:0010243]; rhythmic process [GO:0048511]; type I interferon-mediated signaling pathway [GO:0060337]	GO:0000122; GO:0000776; GO:0000785; GO:0001701; GO:0002218; GO:0002230; GO:0002244; GO:0003677; GO:0003682; GO:0003714; GO:0003723; GO:0005634; GO:0005654; GO:0005667; GO:0005730; GO:0006260; GO:0006355; GO:0008104; GO:0010243; GO:0010817; GO:0010971; GO:0017053; GO:0021895; GO:0030336; GO:0030512; GO:0030516; GO:0031507; GO:0032991; GO:0042754; GO:0043066; GO:0044877; GO:0045666; GO:0045892; GO:0048511; GO:0051595; GO:0060337; GO:0061629; GO:0070822; GO:0071333; GO:0072736; GO:0140416; GO:1900181; GO:1902455; GO:1902459; GO:1903351
g10802	429.566479090245	3.32401130878777	0.941432194543016	3.53080267283752	0.000414300702706745	0.00211791575047087	45	31	24	23	0	116	605	10	37	148	1809	1257	753	97	346	583	sp	A0A1D5NSM8	SVEP1_DANRE	38.514	148	60	5	136	549	593	719	4.18e-12	73.6	A0A1D5NSM8	reviewed	SVEP1_DANRE	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)	svep1	Danio rerio (Zebrafish) (Brachydanio rerio)	3615	cell migration [GO:0016477]; epidermal cell differentiation [GO:0009913]; epidermis development [GO:0008544]; epithelial cell-cell adhesion [GO:0090136]; lymph vessel development [GO:0001945]; lymph vessel morphogenesis [GO:0036303]; negative regulation of complement activation, classical pathway [GO:0045959]	GO:0001945; GO:0005509; GO:0005615; GO:0005634; GO:0005737; GO:0008544; GO:0009913; GO:0016020; GO:0016477; GO:0036303; GO:0045959; GO:0090136
g10801	1603.97452739126	1.79204058918573	0.527803381101298	3.39528061651767	0.000685582930319728	0.00323664390516475	339	415	1481	467	1428	1278	1585	849	573	839	2440	1525	1702	1604	554	2769	sp	A0A1D5NSM8	SVEP1_DANRE	38.095	168	86	6	106	582	548	706	4.33e-15	83.6	A0A1D5NSM8	reviewed	SVEP1_DANRE	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)	svep1	Danio rerio (Zebrafish) (Brachydanio rerio)	3615	cell migration [GO:0016477]; epidermal cell differentiation [GO:0009913]; epidermis development [GO:0008544]; epithelial cell-cell adhesion [GO:0090136]; lymph vessel development [GO:0001945]; lymph vessel morphogenesis [GO:0036303]; negative regulation of complement activation, classical pathway [GO:0045959]	GO:0001945; GO:0005509; GO:0005615; GO:0005634; GO:0005737; GO:0008544; GO:0009913; GO:0016020; GO:0016477; GO:0036303; GO:0045959; GO:0090136
g1378	62.4848979873387	-1.39788914325669	0.511914859690424	-2.73070632116843	0.00631987607504332	0.0210011826707695	97	45	342	57	142	100	32	182	53	13	10	12	29	14	42	27	sp	Q9D5I4	DYLT5_MOUSE	35.652	115	72	2	334	675	60	173	7.76e-19	83.6	Q9D5I4	reviewed	DYLT5_MOUSE	Dynein light chain Tctex-type 5 (Tctex1 domain-containing protein 1)	Dynlt5 Tctex1d1	Mus musculus (Mouse)	173	microtubule-based movement [GO:0007018]	GO:0005737; GO:0005868; GO:0007018; GO:0045505
g1084	5.00803486184358	4.32639532853069	1.50812888528705	2.86871723679453	0.00412140067708189	0.0146350383253856	0	0	0	0	0	5	0	0	6	0	11	33	4	4	0	6	sp	Q9PTS8	ACHA9_CHICK	40.878	296	168	4	34	912	13	304	3e-65	215	Q9PTS8	reviewed	ACHA9_CHICK	Neuronal acetylcholine receptor subunit alpha-9 (Nicotinic acetylcholine receptor subunit alpha-9) (NACHR alpha-9)	CHRNA9	Gallus gallus (Chicken)	484		GO:0004888; GO:0005262; GO:0005886; GO:0022848; GO:0043005; GO:0045202; GO:0045211; GO:1902495
g1088	23.7481290622994	2.79299272283229	0.879481136691463	3.17572783122933	0.00149461105730816	0.00623115937011978	4	7	19	3	0	14	18	0	11	4	92	112	58	1	6	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g6531	657.757813401374	0.681179130834389	0.250955313746916	2.71434432156055	0.00664071042199316	0.021923566020285	439	569	730	468	930	925	585	826	676	984	428	786	775	237	385	628	sp	Q5ZLY5	PKHF2_CHICK	67.1	231	76	0	1	693	1	231	2.49e-117	339	Q5ZLY5	reviewed	PKHF2_CHICK	Pleckstrin homology domain-containing family F member 2 (PH domain-containing family F member 2)	PLEKHF2 RCJMB04_4g10	Gallus gallus (Chicken)	249	endosome organization [GO:0007032]; endosome to lysosome transport [GO:0008333]; protein transport [GO:0015031]	GO:0005769; GO:0005783; GO:0007032; GO:0008333; GO:0015031; GO:0031901; GO:0035091; GO:0046872
g6536	113.542416929438	-0.749852084978061	0.315757660141691	-2.37477084369569	0.0175598481185713	0.0489575785752609	112	236	213	107	137	218	284	264	60	33	109	148	143	9	54	39	sp	Q01460	DIAC_RAT	52.672	262	121	2	43	822	104	364	6.83e-95	287	Q01460	reviewed	DIAC_RAT	Di-N-acetylchitobiase (EC 3.2.1.-)	Ctbs Ctb	Rattus norvegicus (Rat)	367	chitin catabolic process [GO:0006032]; oligosaccharide catabolic process [GO:0009313]	GO:0004568; GO:0005764; GO:0006032; GO:0008061; GO:0009313; GO:0016798
