gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
g20093	13383.63629	1.080012474	0.215565181	5.010143432	5.44E-07	6.80E-06	14964	15915	11759	15594	14815	16252	9702	8378	10597	11785	8483	11579	sp	Q02543	RL18A_HUMAN	70.455	176	51	1	1	525	1	176	5.35E-86	253	Q02543	reviewed	RL18A_HUMAN	Large ribosomal subunit protein eL20 (60S ribosomal protein L18a)	RPL18A	Homo sapiens (Human)	176	GO:0002181; GO:0003723; GO:0003735; GO:0005737; GO:0005829; GO:0006412; GO:0016020; GO:0022625; GO:0022626
g11895	133.1345151	-1.071374392	0.395207813	-2.710913999	0.006709803	0.022547131	94	101	63	97	19	86	230	213	215	367	77	225	sp	Q8CBC7	TRM7_MOUSE	72.945	292	75	1	1	876	1	288	2.13E-143	410	Q8CBC7	reviewed	TRM7_MOUSE	tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase (EC 2.1.1.205) (2'-O-ribose RNA methyltransferase TRM7 homolog) (Protein ftsJ homolog 1)	Ftsj1	Mus musculus (Mouse)	324	GO:0002130; GO:0002181; GO:0005634; GO:0005737; GO:0005829; GO:0008175; GO:0016423; GO:0022008; GO:0030488; GO:0106339; GO:0106340; GO:1904047
g509	7383.706421	1.219442811	0.440961637	2.76541701	0.005685007	0.019749364	9693	9717	6256	8211	8065	9274	6514	4681	5713	7023	800	7485	sp	P63221	RS21_PIG	73.494	83	22	0	1	249	1	83	1.54E-40	131	P63221	reviewed	RS21_PIG	Small ribosomal subunit protein eS21 (40S ribosomal protein S21)	RPS21	Sus scrofa (Pig)	83	GO:0000447; GO:0000461; GO:0002181; GO:0003735; GO:0022627; GO:0043022; GO:0098556
g16638	3315.794203	0.640159227	0.195285844	3.278062637	0.001045222	0.004796019	3194	4752	3151	3266	2539	3570	3421	2861	2952	3667	2233	3624	sp	P27659	RL3_MOUSE	87.013	77	10	0	1	231	1	77	3.56E-42	144	P27659	reviewed	RL3_MOUSE	Large ribosomal subunit protein uL3 (60S ribosomal protein L3) (J1 protein)	Rpl3	Mus musculus (Mouse)	403	GO:0002181; GO:0003723; GO:0003735; GO:0005730; GO:0005737; GO:0005829; GO:0005840; GO:0006412; GO:0008097; GO:0022625; GO:0045202; GO:0071353
g6297	15824.88504	1.18614926	0.287485879	4.125939208	3.69E-05	0.000273543	19769	21264	12747	17681	18702	17854	13191	10797	11527	14468	5665	13775	sp	Q8JGR4	RL24_DANRE	63.057	157	55	1	1	462	1	157	6.33E-50	160	Q8JGR4	reviewed	RL24_DANRE	Large ribosomal subunit protein eL24 (60S ribosomal protein L24)	rpl24	Danio rerio (Zebrafish) (Brachydanio rerio)	157	GO:0002181; GO:0003729; GO:0003735; GO:0022625; GO:0043009
g9064	9806.792982	0.746088632	0.186503427	4.000401733	6.32E-05	0.000431277	10128	12246	8126	9337	8506	12626	9033	5685	7757	11551	8291	10603	sp	Q8UW19	RL36_HYDHA	65.278	72	21	1	1	204	1	72	1.90E-14	66.6	Q8UW19	reviewed	RL36_HYDHA	Large ribosomal subunit protein eL36 (60S ribosomal protein L36)	RPL36	Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii)	105	GO:0002181; GO:0003735; GO:0022625
g13448	7454.48835	0.79925836	0.165687329	4.823895483	1.41E-06	1.58E-05	8426	9458	6721	7394	6785	8492	7164	5224	5955	6928	6689	7112	sp	G1SQH0	RL26_RABIT	78.014	141	30	1	1	423	1	140	2.49E-43	142	G1SQH0	reviewed	RL26_RABIT	Large ribosomal subunit protein uL24 (60S ribosomal protein L26)	RPL26	Oryctolagus cuniculus (Rabbit)	145	GO:0002181; GO:0003735; GO:0005654; GO:0005730; GO:0006364; GO:0006977; GO:0022625; GO:0042273; GO:0045202; GO:0045727; GO:0048027; GO:0071480; GO:1902164; GO:1902167; GO:1904803
g4288	8430.540375	0.921241632	0.228371327	4.033963648	5.48E-05	0.000380873	9298	9711	5784	10188	9337	9636	7148	4875	6755	7371	7997	6750	sp	P62861	RS30_HUMAN	59.398	133	54	0	1	399	1	133	9.18E-47	150	P62861	reviewed	RS30_HUMAN	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein (FAU ubiquitin like and ribosomal protein S30 fusion) [Cleaved into: Ubiquitin-like protein FUBI; Small ribosomal subunit protein eS30 (40S ribosomal protein S30)]	FAU	Homo sapiens (Human)	133	GO:0002181; GO:0002227; GO:0003723; GO:0003735; GO:0005615; GO:0005654; GO:0005737; GO:0005829; GO:0006412; GO:0015935; GO:0019731; GO:0022626; GO:0022627; GO:0050830; GO:0061844
g21139	2696.493872	0.784580917	0.218307774	3.593921105	0.000325739	0.001776026	2724	4061	1986	2862	2420	2862	2348	1689	1946	2819	2415	3098	sp	A0A1D8PF57	RL29_CANAL	71.739	46	13	0	1	138	1	46	6.02E-17	71.6	A0A1D8PF57	reviewed	RL29_CANAL	Large ribosomal subunit protein eL29 (60S ribosomal protein L29)	RPL29 orf19.2310.1 CAALFM_C111040WA	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	63	GO:0002181; GO:0003735; GO:0022625
g17634	14990.59955	0.856824075	0.235823569	3.633326729	0.00027979	0.001562012	16877	23222	13087	12362	14882	16007	18935	10398	11977	15558	9082	12865	sp	P38983	RSSA_RAT	64.164	293	89	5	1	879	1	277	3.62E-130	375	P38983	reviewed	RSSA_RAT	Small ribosomal subunit protein uS2 (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (40S ribosomal protein SA) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40)	Rpsa Lamr1	Rattus norvegicus (Rat)	295	GO:0000028; GO:0002181; GO:0003677; GO:0003735; GO:0005055; GO:0005198; GO:0005604; GO:0005634; GO:0005737; GO:0005886; GO:0015935; GO:0022626; GO:0022627; GO:0030855; GO:0043022; GO:0043025; GO:0043236; GO:0045202; GO:0062023; GO:0098609; GO:0098978; GO:0140374
g16170	7227.855664	0.933500154	0.320418115	2.913381328	0.003575377	0.013435557	9271	10386	6794	6817	6195	7951	5492	3995	4557	4635	11999	5008	sp	P47955	RLA1_MOUSE	73.016	63	17	0	1	189	1	63	2.72E-26	97.1	P47955	reviewed	RLA1_MOUSE	Large ribosomal subunit protein P1 (60S acidic ribosomal protein P1)	Rplp1	Mus musculus (Mouse)	114	GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0005840; GO:0006414; GO:0006417; GO:0022625; GO:0030295; GO:0043021; GO:0045202; GO:0098794
