gene_id	baseMean.x	log2FoldChange.x	lfcSE.x	stat.x	pvalue.x	padj.x	PSC.56	PSC.52	PSC.54	PSC.61	PSC.64	PSC.73	PSC.76	PSC.81	PSC.59	PSC.57	PSC.69	PSC.67	PSC.71	PSC.75	PSC.78	PSC.83	V2.x	uniprot_accession.x	gene_name.x	V5.x	V6.x	V7.x	V8.x	V9.x	V10.x	V11.x	V12.x	V13.x	V14.x	Entry.x	Reviewed.x	Entry.Name.x	Protein.names.x	Gene.Names.x	Organism.x	Length.x	Gene.Ontology.biological.process.x	Gene.Ontology.IDs.x	baseMean.y	log2FoldChange.y	lfcSE.y	stat.y	pvalue.y	padj.y	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203
g21712	15506.8006860189	-0.686001394104519	0.279769093821729	-2.45202707966608	0.0142053971059541	0.04104326062556	16897	26645	32348	20860	32914	28245	21628	26422	10051	7784	7655	8444	8324	2531	22624	6679	sp	P54985	PPIA_BLAGE	73.171	164	44	0	1	492	1	164	2.17e-88	258	P54985	reviewed	PPIA_BLAGE	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (Cyclosporin A-binding protein) (Rotamase)	CYPA	Blattella germanica (German cockroach) (Blatta germanica)	164	protein folding [GO:0006457]	GO:0003755; GO:0005737; GO:0006457; GO:0043231	7194.43287302476	-0.638633249769945	0.242165630686154	-2.63717542394615	0.00835995865095745	0.0276565755484632	4473	5455	5657	7330	1953	4619	13008	10955	11418	11105	6691	10802
g21713	931.361342578574	0.765760120416294	0.279988740054853	2.73496755714631	0.00623864245462093	0.0207814457271467	1025	718	596	910	905	905	1269	1044	1602	1167	479	2113	1073	128	584	1016	sp	Q8TDM6	DLG5_HUMAN	34.563	732	353	15	310	2409	158	795	1.74e-107	387	Q8TDM6	reviewed	DLG5_HUMAN	Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)	DLG5 KIAA0583 PDLG	Homo sapiens (Human)	1919	apical protein localization [GO:0045176]; cell-cell adhesion [GO:0098609]; epithelial to mesenchymal transition [GO:0001837]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; intracellular signal transduction [GO:0035556]; maintenance of cell polarity [GO:0030011]; metanephric collecting duct development [GO:0072205]; midbrain development [GO:0030901]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of hippo signaling [GO:0035331]; negative regulation of T cell proliferation [GO:0042130]; neuroepithelial cell differentiation [GO:0060563]; polarized epithelial cell differentiation [GO:0030859]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of hippo signaling [GO:0035332]; positive regulation of smoothened signaling pathway [GO:0045880]; positive regulation of synapse assembly [GO:0051965]; postsynapse organization [GO:0099173]; protein localization to adherens junction [GO:0071896]; protein-containing complex assembly [GO:0065003]; regulation of apoptotic process [GO:0042981]; signal transduction [GO:0007165]; zonula adherens assembly [GO:0045186]	GO:0001837; GO:0005737; GO:0005886; GO:0005912; GO:0007165; GO:0008013; GO:0008092; GO:0008285; GO:0014069; GO:0030011; GO:0030054; GO:0030159; GO:0030336; GO:0030859; GO:0030901; GO:0035331; GO:0035332; GO:0035556; GO:0036064; GO:0042130; GO:0042981; GO:0045176; GO:0045186; GO:0045197; GO:0045880; GO:0051965; GO:0060441; GO:0060563; GO:0060999; GO:0065003; GO:0071896; GO:0072205; GO:0098609; GO:0098978; GO:0099173	1582.92353049577	2.54784798479592	0.580569616192163	4.38853139009708	1.1411866532543e-05	0.000102923515898453	2206	6182	3634	178	437	2679	845	545	393	576	382	691
g15181	7362.04249036577	2.13117880973538	0.606155663157497	3.5158935885115	0.000438276606665117	0.00222160900619904	2050	4021	5267	2735	5754	3349	2310	4159	5948	12920	4942	686	4493	8496	1682	13152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3319.56899233365	2.77714663766482	0.499705832400324	5.55756298525649	2.7356728019417e-08	4.97688377587115e-07	3925	1314	2046	7340	6081	5438	1141	882	643	1140	1376	914
g15182	848.103634775757	1.44107523921733	0.603474139884921	2.38796519017722	0.0169419463881676	0.047565397521059	357	551	1072	381	1012	514	342	749	329	511	230	729	345	937	185	2259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	767.351797230135	2.20304006989375	0.672728192463399	3.27478481588032	0.00105742486147927	0.00498760738436136	397	247	329	2146	1698	529	257	649	381	210	168	280
g15183	916.675431757199	-0.700558231713056	0.24491415606803	-2.86042359886482	0.00423075479942892	0.0149434418878582	954	1585	1464	886	1703	1881	1635	2359	1007	614	608	1023	634	102	442	269	sp	Q62432	SMAD2_MOUSE	72.163	467	98	4	1	1305	1	467	0	624	Q62432	reviewed	SMAD2_MOUSE	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (Mad-related protein 2) (mMad2) (SMAD family member 2) (SMAD 2) (Smad2)	Smad2 Madh2 Madr2	Mus musculus (Mouse)	467	activin receptor signaling pathway [GO:0032924]; adrenal gland development [GO:0030325]; anatomical structure morphogenesis [GO:0009653]; anterior/posterior pattern specification [GO:0009952]; aortic valve morphogenesis [GO:0003180]; cell differentiation [GO:0030154]; cell fate commitment [GO:0045165]; cell population proliferation [GO:0008283]; cellular response to glucose stimulus [GO:0071333]; determination of left/right asymmetry in lateral mesoderm [GO:0003140]; developmental growth [GO:0048589]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic foregut morphogenesis [GO:0048617]; embryonic pattern specification [GO:0009880]; endocardial cushion morphogenesis [GO:0003203]; endoderm development [GO:0007492]; endoderm formation [GO:0001706]; gastrulation [GO:0007369]; heart development [GO:0007507]; in utero embryonic development [GO:0001701]; insulin secretion [GO:0030073]; intracellular signal transduction [GO:0035556]; lung development [GO:0030324]; mesoderm formation [GO:0001707]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; nodal signaling pathway [GO:0038092]; odontoblast differentiation [GO:0071895]; organ growth [GO:0035265]; pancreas development [GO:0031016]; paraxial mesoderm morphogenesis [GO:0048340]; pattern specification process [GO:0007389]; pericardium development [GO:0060039]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-embryonic development [GO:0009791]; pulmonary valve morphogenesis [GO:0003184]; regulation of DNA-templated transcription [GO:0006355]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; response to cholesterol [GO:0070723]; response to glucose [GO:0009749]; response to transforming growth factor beta [GO:0071559]; secondary palate development [GO:0062009]; signal transduction involved in regulation of gene expression [GO:0023019]; SMAD protein signal transduction [GO:0060395]; transforming growth factor beta receptor signaling pathway [GO:0007179]; ureteric bud development [GO:0001657]; zygotic specification of dorsal/ventral axis [GO:0007352]	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001657; GO:0001701; GO:0001706; GO:0001707; GO:0003140; GO:0003180; GO:0003184; GO:0003203; GO:0003677; GO:0003682; GO:0003690; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0006355; GO:0007179; GO:0007352; GO:0007369; GO:0007389; GO:0007492; GO:0007507; GO:0008283; GO:0008285; GO:0009653; GO:0009749; GO:0009791; GO:0009880; GO:0009952; GO:0010628; GO:0010629; GO:0010718; GO:0017015; GO:0019902; GO:0023019; GO:0030073; GO:0030154; GO:0030324; GO:0030325; GO:0030513; GO:0031016; GO:0031625; GO:0032444; GO:0032924; GO:0032991; GO:0034713; GO:0035265; GO:0035556; GO:0038092; GO:0042802; GO:0045165; GO:0045892; GO:0045893; GO:0045944; GO:0046332; GO:0046872; GO:0048156; GO:0048340; GO:0048589; GO:0048617; GO:0048701; GO:0060039; GO:0060395; GO:0061629; GO:0062009; GO:0070410; GO:0070411; GO:0070412; GO:0070723; GO:0071142; GO:0071144; GO:0071333; GO:0071559; GO:0071895; GO:0097718; GO:0140297	630.03336478941	-0.851629354705675	0.178256084898924	-4.77756119903886	1.77434056825512e-06	2.00134526470626e-05	449	396	611	381	225	297	1278	1079	656	1125	858	961
g7651	625.045813674949	1.17515444248357	0.338850532449784	3.46806137203791	0.000524227551336494	0.00257724022366272	488	538	365	372	437	714	646	571	449	834	200	837	623	327	539	1166	sp	Q4V920	PACN1_DANRE	44.889	450	228	6	1	1305	1	445	1.07e-134	397	Q4V920	reviewed	PACN1_DANRE	Protein kinase C and casein kinase substrate in neurons protein 1 (Syndapin-1)	pacsin1b pacsin1	Danio rerio (Zebrafish) (Brachydanio rerio)	445	actin filament organization [GO:0007015]; auditory receptor cell stereocilium organization [GO:0060088]; cilium assembly [GO:0060271]; cytoskeleton organization [GO:0007010]; endocytosis [GO:0006897]; neuron projection morphogenesis [GO:0048812]; plasma membrane tubulation [GO:0097320]; positive regulation of dendrite development [GO:1900006]; regulation of endocytosis [GO:0030100]	GO:0005543; GO:0005737; GO:0005768; GO:0005829; GO:0005886; GO:0006897; GO:0007010; GO:0007015; GO:0030100; GO:0030659; GO:0032587; GO:0043005; GO:0045202; GO:0048812; GO:0060088; GO:0060271; GO:0097320; GO:1900006	360.758726627261	1.5672505308692	0.31636010219109	4.95400816984986	7.27001518208064e-07	9.09230519688214e-06	391	461	535	358	500	371	212	147	159	262	239	284
g7656	369.553524158447	1.34279754324671	0.359840419468955	3.73164733752917	0.000190231694582979	0.00109975735292238	461	231	229	113	192	546	256	210	369	442	352	476	843	172	156	428	sp	Q9D8N3	TM86A_MOUSE	40.491	163	93	3	10	495	8	167	4.61e-25	100	Q9D8N3	reviewed	TM86A_MOUSE	Lysoplasmalogenase TMEM86A (EC 3.3.2.2) (Transmembrane protein 86A)	Tmem86a	Mus musculus (Mouse)	241	lipid metabolic process [GO:0006629]	GO:0005789; GO:0006629; GO:0016020; GO:0016787; GO:0047408	218.743117682241	1.94046798341619	0.403874252304816	4.80463404721246	1.55034804762538e-06	1.77492483866553e-05	394	93	254	260	299	371	189	134	62	86	108	96
g15189	813.34216092778	0.971053951949848	0.273032225562707	3.55655435891698	0.000375750759031123	0.00195246421118789	730	537	667	729	905	717	709	877	657	1128	526	1046	902	356	465	1233	sp	Q5ZLW3	DYM_CHICK	50.142	704	310	12	1	2094	1	669	0	632	Q5ZLW3	reviewed	DYM_CHICK	Dymeclin	DYM RCJMB04_4k4	Gallus gallus (Chicken)	669	Golgi organization [GO:0007030]	GO:0005794; GO:0007030	463.392077047184	0.922838200615167	0.304504821317652	3.03061934002182	0.00244052719206575	0.0100397069147961	614	306	408	583	554	448	496	402	408	446	296	297
g7654	36203.8538930274	0.71896435484485	0.214526807513838	3.35139632746584	0.000804051386274238	0.00369713885995296	40381	45316	38148	25250	34276	36646	35862	39425	32733	32291	43420	32637	40925	15784	38388	25202	sp	G1T168	RS10_RABIT	73.846	130	28	3	1	375	1	129	5.73e-62	191	G1T168	reviewed	RS10_RABIT	Small ribosomal subunit protein eS10 (40S ribosomal protein S10)	RPS10	Oryctolagus cuniculus (Rabbit)	165		GO:0003723; GO:0003735; GO:0005730; GO:0022626; GO:0022627	13705.6361408876	0.782803999133341	0.238336290621222	3.2844515499212	0.00102181065169776	0.00485024114444752	14257	15664	10750	14997	12868	16647	13218	10897	12136	13539	10060	12991
g7655	131.144635256684	1.3405865701751	0.364731803532344	3.6755406498469	0.000237346243723113	0.00132634260457806	129	66	106	36	75	180	102	113	135	172	84	189	196	41	61	285	sp	F1RMN2	TM86B_PIG	38.605	215	104	8	67	699	34	224	6.07e-29	112	F1RMN2	reviewed	TM86B_PIG	Lysoplasmalogenase TMEM86B (EC 3.3.2.2) (Transmembrane protein 86B)	TMEM86B	Sus scrofa (Pig)	226	ether lipid metabolic process [GO:0046485]	GO:0005737; GO:0005789; GO:0016020; GO:0046485; GO:0047408; GO:0047826	119.74899322686	1.71671662570275	0.459115474809749	3.73918266731073	0.000184619540882383	0.00113869748950935	140	317	197	40	73	214	119	75	40	33	93	54
