gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
g19475	786.8160768	2.190568155	0.328872658	6.660839994	2.72E-11	9.31E-10	1558	1176	670	1012	1250	622	381	302	415	293	310	332	sp	Q9H3F6	BACD3_HUMAN	71.483	263	68	4	88	873	28	284	2.79E-134	386	Q9H3F6	reviewed	BACD3_HUMAN	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 (hBACURD3) (BTB/POZ domain-containing protein KCTD10) (Potassium channel tetramerization domain-containing protein 10)	KCTD10 ULR061 MSTP028	Homo sapiens (Human)	313	GO:0005112; GO:0005654; GO:0005829; GO:0006511; GO:0016567; GO:0031463; GO:0035024; GO:0042802; GO:0043161; GO:0051260
g14478	60.73188569	-2.478275998	0.32038314	-7.735350866	1.03E-14	6.60E-13	21	17	11	21	10	15	102	125	144	120	137	100	sp	P0C2W1	FBSP1_HUMAN	72.727	220	59	1	25	681	39	258	3.93E-115	334	P0C2W1	reviewed	FBSP1_HUMAN	F-box/SPRY domain-containing protein 1 (F-box only protein 45) (hFbxo45)	FBXO45 FBX45	Homo sapiens (Human)	286	GO:0001764; GO:0005576; GO:0005634; GO:0005737; GO:0006511; GO:0006974; GO:0014069; GO:0016567; GO:0019005; GO:0021799; GO:0021800; GO:0021957; GO:0021960; GO:0042734; GO:0042995; GO:0043161; GO:0045202; GO:0045211; GO:0060386; GO:0070936; GO:0098978; GO:0099523; GO:0099524; GO:1990756; GO:2000300
g21847	49.23760315	-1.265813626	0.393256096	-3.218802304	0.001287272	0.005860595	37	29	53	8	16	13	137	70	48	107	69	91	sp	Q5PQN1	HERC4_RAT	49.198	374	172	6	13	1131	3	359	1.72E-103	335	Q5PQN1	reviewed	HERC4_RAT	Probable E3 ubiquitin-protein ligase HERC4 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 4) (HECT-type E3 ubiquitin transferase HERC4)	Herc4	Rattus norvegicus (Rat)	1057	GO:0001650; GO:0005737; GO:0005829; GO:0006511; GO:0007283; GO:0016567; GO:0030154; GO:0045879; GO:0061630
g9753	1168.050089	0.922136671	0.311011014	2.964964681	0.003027177	0.012028063	1688	1093	1144	938	1463	1091	1776	752	697	1428	591	902	sp	Q6I6G8	HECW2_MOUSE	58.853	802	264	8	2803	5103	808	1578	0	840	Q6I6G8	reviewed	HECW2_MOUSE	"E3 ubiquitin-protein ligase HECW2 (EC 2.3.2.26) (HECT, C2 and WW domain-containing protein 2) (HECT-type E3 ubiquitin transferase HECW2) (NEDD4-like E3 ubiquitin-protein ligase 2)"	Hecw2 Kiaa1301 Nedl2	Mus musculus (Mouse)	1578	GO:0005737; GO:0006511; GO:0016567; GO:0030071; GO:0048814; GO:0061630; GO:0072686
g13596	29.35415368	4.14458131	1.146105405	3.616230491	0.000298924	0.001713142	32	114	106	5	0	63	2	9	4	0	0	7	sp	Q4G0X4	KCD21_HUMAN	56.757	111	44	1	1	333	1	107	1.08E-36	128	Q4G0X4	reviewed	KCD21_HUMAN	BTB/POZ domain-containing protein KCTD21 (KCASH2 protein) (Potassium channel tetramerization domain-containing protein 21)	KCTD21	Homo sapiens (Human)	260	GO:0006511; GO:0016567; GO:0042802; GO:0042826; GO:0045879; GO:0051260; GO:0097602
g13599	49.97825539	0.947854941	0.333269063	2.844113203	0.004453522	0.016534194	52	43	64	74	48	45	51	24	54	35	32	50	sp	Q3URF8	KCD21_MOUSE	55.263	114	50	1	13	351	2	115	4.63E-34	125	Q3URF8	reviewed	KCD21_MOUSE	BTB/POZ domain-containing protein KCTD21 (KCASH2 protein) (Potassium channel tetramerization domain-containing protein 21)	Kctd21	Mus musculus (Mouse)	260	GO:0006511; GO:0016567; GO:0042826; GO:0051260; GO:0097602
g17328	162.3532508	1.42792885	0.365713512	3.904501214	9.44E-05	0.000643503	220	159	155	155	224	219	125	84	111	97	52	168	sp	Q9HAU4	SMUF2_HUMAN	70.5	200	50	2	1	600	1	191	5.31E-96	300	Q9HAU4	reviewed	SMUF2_HUMAN	E3 ubiquitin-protein ligase SMURF2 (hSMURF2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2)	SMURF2	Homo sapiens (Human)	748	GO:0000122; GO:0000151; GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006511; GO:0016567; GO:0016607; GO:0017015; GO:0030512; GO:0030514; GO:0042802; GO:0043161; GO:0045121; GO:0045892; GO:0046332; GO:0060071; GO:0061630; GO:0090263; GO:1901165
g4809	221.6429406	-1.015098004	0.294281919	-3.449406637	0.00056182	0.002926166	165	158	249	90	40	106	663	312	235	475	296	276	sp	Q5ND34	WDR81_MOUSE	33.333	1047	592	22	1246	4323	55	1016	8.51E-144	494	Q5ND34	reviewed	WDR81_MOUSE	WD repeat-containing protein 81	Wdr81	Mus musculus (Mouse)	1934	GO:0000421; GO:0005739; GO:0005765; GO:0005829; GO:0006511; GO:0007005; GO:0010008; GO:0031901; GO:0031902; GO:0035014; GO:0035973; GO:0045022; GO:0050821; GO:0070530; GO:0141039
g13964	979.0957353	-1.627383103	0.271217765	-6.0002821	1.97E-09	4.64E-08	572	784	467	246	206	316	2959	2135	1251	2140	1019	1643	sp	P49407	ARRB1_HUMAN	57.045	440	145	12	187	1488	4	405	3.35E-151	441	P49407	reviewed	ARRB1_HUMAN	Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2)	ARRB1 ARR1	Homo sapiens (Human)	418	GO:0000139; GO:0000785; GO:0001664; GO:0001934; GO:0002031; GO:0002092; GO:0003713; GO:0004857; GO:0005096; GO:0005159; GO:0005634; GO:0005654; GO:0005737; GO:0005765; GO:0005829; GO:0005886; GO:0005905; GO:0006357; GO:0006511; GO:0007165; GO:0007601; GO:0015031; GO:0016567; GO:0016604; GO:0030659; GO:0031143; GO:0031397; GO:0031410; GO:0031625; GO:0031701; GO:0032088; GO:0032715; GO:0032717; GO:0035025; GO:0043149; GO:0043161; GO:0045746; GO:0045944; GO:0070374; GO:1990763
g14365	2398.618788	1.032084419	0.295498475	3.492689497	0.000478182	0.002543399	3293	2798	2152	2118	2994	2305	3089	1657	1239	2736	1159	1990	sp	B4F6W9	TRIPC_XENTR	62.873	905	320	6	3469	6138	1153	2056	0	1182	B4F6W9	reviewed	TRIPC_XENTR	E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12)	trip12	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	2056	GO:0000209; GO:0005654; GO:0006281; GO:0006511; GO:0008270; GO:0033696; GO:0045995; GO:0061630; GO:0140861
