gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203	V2	uniprot_accession	gene_name	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology.IDs
1	g16984	42.5732532580854	-1.88999575080403	0.682849911674022	-2.76780551405603	0.00564351224232687	0.0196289156411538	34	44	0	13	6	8	141	56	77	124	52	54	sp	Q8C2A2	SEN54_MOUSE	26.298	289	186	8	310	1170	260	523	8.49e-20	94.7	Q8C2A2	reviewed	SEN54_MOUSE	tRNA-splicing endonuclease subunit Sen54 (tRNA-intron endonuclease Sen54)	Tsen54 Sen54	Mus musculus (Mouse)	525	GO:0000214; GO:0000379; GO:0005730; GO:0006397
2	g16989	1068.14286285207	0.900543524814492	0.333174458967879	2.70291884799402	0.00687335252811567	0.0229937618876614	1444	787	975	1597	1168	856	1094	1101	1104	643	651	739	sp	Q7YRK6	CX6B1_CARSF	62.069	87	29	2	1	252	1	86	3.83e-36	120	Q7YRK6	reviewed	CX6B1_CARSF	Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1)	COX6B1 COX6B	Carlito syrichta (Philippine tarsier) (Tarsius syrichta)	86	GO:0005743; GO:0006119; GO:0045277
3	g21716	12.4131389975863	3.33497791706654	1.24265414866837	2.68375389937763	0.00728006734383576	0.0240836570504586	23	43	20	0	9	27	0	5	4	0	0	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	g21714	4.79204462190479	5.47095320346537	1.92948821193013	2.83544266797701	0.00457622279583934	0.0165260999794516	0	13	11	6	13	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	g21712	7194.43287302476	-0.644829161344519	0.254524081722617	-2.53347014152972	0.0112939361650802	0.0344355728839109	4473	5455	5657	7330	1953	4619	13008	10955	11418	11105	6691	10802	sp	P54985	PPIA_BLAGE	73.171	164	44	0	1	492	1	164	2.17e-88	258	P54985	reviewed	PPIA_BLAGE	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (Cyclosporin A-binding protein) (Rotamase)	CYPA	Blattella germanica (German cockroach) (Blatta germanica)	164	GO:0003755; GO:0005737; GO:0006457; GO:0043231
6	g21713	1582.92353049577	2.38797943073348	0.576465683982037	4.14244853958711	3.43617484810522e-05	0.000257109883953153	2206	6182	3634	178	437	2679	845	545	393	576	382	691	sp	Q8TDM6	DLG5_HUMAN	34.563	732	353	15	310	2409	158	795	1.74e-107	387	Q8TDM6	reviewed	DLG5_HUMAN	Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)	DLG5 KIAA0583 PDLG	Homo sapiens (Human)	1919	GO:0001837; GO:0005737; GO:0005886; GO:0005912; GO:0007165; GO:0008013; GO:0008092; GO:0008285; GO:0014069; GO:0030011; GO:0030054; GO:0030159; GO:0030336; GO:0030859; GO:0030901; GO:0035331; GO:0035332; GO:0035556; GO:0036064; GO:0042130; GO:0042981; GO:0045176; GO:0045186; GO:0045197; GO:0045880; GO:0051965; GO:0060441; GO:0060563; GO:0060999; GO:0065003; GO:0071896; GO:0072205; GO:0098609; GO:0098978; GO:0099173
7	g21710	1969.5260086036	1.14818513263796	0.477853330418347	2.40279822185765	0.0162701621835588	0.0461781551484039	2916	1200	1062	852	4051	2204	1436	1624	1053	1720	1092	1414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	g21711	6099.99205661067	-0.712624334386912	0.284236075769297	-2.50715653337868	0.012170680026734	0.0366074714447607	4259	3468	3497	7590	2187	3028	11300	9183	9024	7497	9688	7617	sp	P54985	PPIA_BLAGE	76.829	164	38	0	1	492	1	164	1.88e-90	263	P54985	reviewed	PPIA_BLAGE	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (Cyclosporin A-binding protein) (Rotamase)	CYPA	Blattella germanica (German cockroach) (Blatta germanica)	164	GO:0003755; GO:0005737; GO:0006457; GO:0043231
9	g21719	30.1347946203639	2.02965615041377	0.755539447234773	2.68636688374403	0.00722337245610329	0.0239236100033106	48	88	56	9	14	53	16	22	7	9	0	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	g7659	1086.58628382577	1.7704454864367	0.644574231727064	2.74668982918072	0.00602000369394361	0.0206636118045048	566	3411	2282	175	191	2673	636	659	545	514	773	344	sp	Q9Y2H1	ST38L_HUMAN	72.234	461	115	5	28	1398	13	464	0	676	Q9Y2H1	reviewed	ST38L_HUMAN	Serine/threonine-protein kinase 38-like (EC 2.7.11.1) (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2)	STK38L KIAA0965 NDR2	Homo sapiens (Human)	464	GO:0000287; GO:0003779; GO:0004674; GO:0005524; GO:0005737; GO:0005829; GO:0006468; GO:0010507; GO:0015629; GO:0016020; GO:0035556; GO:0051128; GO:0098978; GO:0099173; GO:0106310
