transcriptID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V2	uniprot_accession_ID	gene	V5	V6	V7	V8	V9	V10	V11	V12	PSC.0228	PSC.0187	PSC.0188	PSC.0174	PSC.0190	PSC.0231	PSC.0230	PSC.0219	PSC.0177	PSC.0186	PSC.0209	PSC.0203
1	g15181.t1	1465.30619627947	-1.40390847475992	0.379953473626933	-3.69494838765018	0.000219931457566716	0.0453268261118451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1675	543	858	3264	2727	2303	447	324	261	412	604	409
2	g14601.t1	49.8215686522484	6.47369139344767	1.60820467047606	4.02541511804671	5.68748937108203e-05	0.0228980967423656	sp|P21836|ACES_MOUSE	36.348	575	317	16	160	1824	60	605	2.8e-108	342	62	520	1	1	0	0	0	38	1	0	0	2
3	g15820.t1	62.4955934096241	2.98953298902161	0.691587487320715	4.32271121706291	1.54123414004068e-05	0.0116008023619062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	177	348	117	5	2	25	46	38	18	12	0	9
4	g6847.t1	373.467391139753	-0.632732540464436	0.170669688719601	-3.70735158194362	0.000209438086191896	0.0442169774165134	sp|Q9UPU7|TBD2B_HUMAN	35.455	990	535	15	256	3126	33	951	0	566	321	251	285	322	272	339	544	363	340	506	590	438
5	g13468.t1	72.1781496985923	5.68583013719122	0.967821205575697	5.87487658302452	4.23158485692951e-09	3.66285985215818e-05	sp|P19630|NEU2_ANSAN	40.741	81	45	2	586	828	9	86	1.55e-06	50.1	140	688	35	2	0	4	8	11	15	0	0	2
6	g23108.t1	741.752063026949	-1.87713538493344	0.447882252979838	-4.19113588994549	2.77561347550044e-05	0.0165694553406426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	408	157	296	326	1012	893	715	620	173	1268	1570	1002
7	g9311.t1	41.7313996333385	-3.96847761843713	0.819072292634563	-4.84508834461051	1.26555352982063e-06	0.00199175115529588	sp|Q6ZMI3|GLDN_HUMAN	33.628	226	133	7	2323	2988	333	545	6.42e-33	138	0	0	0	20	23	34	50	39	12	45	134	172
8	g11651.t4	19.5390931354885	7.29276415547827	1.3256957430155	5.50108438825468	3.77462480963576e-08	0.000217821015681381	sp|Q5F464|LPP_CHICK	64.807	233	80	2	661	1359	368	598	3.95e-109	338	40	110	40	0	0	0	41	33	0	0	0	0
9	g3332.t2	19.0425436444327	7.41682225580688	1.39912764008655	5.30103333198968	1.15149061056669e-07	0.000427579443239329	sp|A4VCH0|SAC1A_DANRE	57.895	589	239	5	10	1770	5	586	0	721	39	78	44	0	0	0	22	0	66	0	0	0
10	g746.t1	2004.93515877118	-1.1731748131811	0.30989272993377	-3.78574487188463	0.000153248841652838	0.0344551161908303	sp|B3EWZ9|HEPHL_ACRMI	45.592	1055	530	16	103	3156	29	1076	0	940	1080	1001	997	1322	695	2226	2664	1998	1162	3651	6495	2351
11	g23104.t1	446.666542745857	-2.0764213435457	0.489106548812948	-4.24533539488509	2.18266691322582e-05	0.0151145318407062	sp|Q29116|TENA_PIG	30.396	556	293	28	67	1611	185	687	4.63e-27	125	187	112	189	142	672	531	436	295	65	958	764	694
12	g23106.t1	182.772022434325	-1.92039169061438	0.500609232857741	-3.83610921367105	0.000124998838896828	0.030913998556884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94	49	75	54	211	229	181	149	21	388	357	339
13	g23587.t1	9.30673832533753	2.63290157119901	0.638359174455571	4.12448301294408	3.71568412874103e-05	0.018735627206684	sp|P62287|ASPM_COLGU	30.344	1048	561	21	43	3000	2533	3473	2.52e-106	369	21	38	14	5	1	2	15	5	15	2	1	2
14	g1326.t1	1430.04272183077	5.5713164838219	1.22446996295293	4.54998215749295	5.36504646647878e-06	0.00541781404902809	sp|Q90243|VIT_ACITR	22.255	1020	640	25	85	3069	17	908	3.43e-43	177	2166	15268	31	14	1	10	40	254	32	50	2	21
15	g17719.t1	75.110351073196	2.17096001233427	0.539312303224801	4.02542274550958	5.68730501104046e-05	0.0228980967423656	sp|Q8AVH7|EGFL6_XENLA	47.177	248	124	5	106	834	35	280	1.73e-61	219	286	73	88	12	9	42	197	169	68	21	10	55
16	g13972.t1	68.907761938278	6.06199136090701	1.182483296418	5.12649217056183	2.95190326270493e-07	0.000778863192339066	sp|P70170|ABCC9_MOUSE	37.157	1604	905	27	43	4731	5	1546	0	951	143	323	170	25	0	0	29	78	109	0	0	0
17	g15793.t1	43.4380780653434	2.4450481454138	0.508161240216125	4.81155970174723	1.49756984924686e-06	0.00199430224847398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	186	85	104	8	7	5	89	35	19	14	10	19
18	g13330.t1	11.7288781933166	2.93510558015381	0.697187139375583	4.20992501781166	2.55455455371377e-05	0.0160155103058813	sp|O13067|CND2_XENLA	39.193	694	357	18	169	2175	45	698	5.44e-139	427	18	30	53	3	1	7	21	6	9	3	0	0
19	g17510.t1	10.9195838397839	4.09866865661355	1.03354425304895	3.96564408782935	7.3198017806374e-05	0.0253440816852789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86	35	10	0	1	1	1	4	1	1	0	0
20	g18244.t1	109.975492882432	-2.10644931763341	0.534911347842104	-3.93794098055889	8.21838014730582e-05	0.025868472201847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	110	59	103	141	260	186	8	10	4	7	64	27
21	g3275.t1	9.42102267833663	2.61795847371937	0.661184853700187	3.95949553149698	7.51082497058169e-05	0.0254955689981785	sp|D3ZVM4|LIN41_RAT	54.795	803	297	7	94	2316	57	855	0	860	6	11	6	0	0	2	50	25	27	10	1	5
